SYMBOL,TICKER,NAME_OF_COMPANY,SERIES,CLOSE_PRICE,PREV_CLOSE,CHANGE_PCT,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_PER,DATE_OF_LISTING,SESSION_DATE
BAJAJINDEF,BAJAJINDEF.NS,Indef Manufacturing Limited,EQ,214.94,221.0,-2.742081447963802,29344,63.31,76.54,21-FEB-2025,20-Sep-2026
BAJAJST,BAJAJST.NS,Bajaj Steel Industries Limited,EQ,352.2,353.45,-0.3536568114301882,4283,15.09,59.28,20-APR-2026,20-Sep-2026
BAJEL,BAJEL.NS,Bajel Projects Limited,EQ,171.91,173.08,-0.675987982435877,153833,265.9,60.95,19-DEC-2023,20-Sep-2026
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,EQ,1040.3,1015.0,2.492610837438419,8201656,84514.81,75.91,01-APR-2003,20-Sep-2026
BALAJEE,BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,EQ,25.31,25.03,1.11865761086695,22788,5.73,72.81,12-SEP-2024,20-Sep-2026
BALAJIPHOS,BALAJIPHOS.NS,BALAJIPHOS,SM,116.95,116.95,0.0,1000,1.17,100.0,,20-Sep-2026
BALAJITELE,BALAJITELE.NS,Balaji Telefilms Limited,EQ,95.25,95.97,-0.7502344482650816,146529,140.0,44.06,22-NOV-2000,20-Sep-2026
BALAMINES,BALAMINES.NS,Balaji Amines Limited,EQ,2171.5,2148.9,1.0517008702126627,97030,2109.56,34.45,05-APR-2007,20-Sep-2026
BALAXI,BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,EQ,23.55,23.04,2.213541666666673,17900,4.2,81.01,30-NOV-2015,20-Sep-2026
BALKRISHNA,BALKRISHNA.NS,Balkrishna Paper Mills Limited,EQ,16.43,16.66,-1.380552220888358,8085,1.33,54.27,28-JUL-2015,20-Sep-2026
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Limited,EQ,2265.3,2170.8,4.35323383084577,616772,13860.28,63.67,27-JAN-2006,20-Sep-2026
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ,167.41,162.47,3.040561334400196,149297,246.92,68.7,06-JUL-1995,20-Sep-2026
BALPHARMA,BALPHARMA.NS,Bal Pharma Limited,EQ,100.67,102.46,-1.747023228576998,24581,24.96,65.43,08-MAY-2006,20-Sep-2026
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ,672.6,675.7,-0.4587834837945867,1086980,7281.64,29.84,08-FEB-1995,20-Sep-2026
BALUFORGE,BALUFORGE.NS,Balu Forge Industries Limited,EQ,522.15,501.6,4.096889952153101,1043655,5410.52,48.4,29-APR-2024,20-Sep-2026
BANARBEADS,BANARBEADS.NS,Banaras Beads Limited,EQ,113.05,110.54,2.270671250226154,790,0.89,41.77,07-JUL-1995,20-Sep-2026
BANARISUG,BANARISUG.NS,Bannari Amman Sugars Limited,EQ,3316.7,3302.8,0.42085503209396985,629,20.86,81.88,28-MAY-2003,20-Sep-2026
BANCOINDIA,BANCOINDIA.NS,Banco Products (I) Limited,EQ,604.0,593.05,1.8463873197875469,92889,561.03,56.35,22-DEC-2006,20-Sep-2026
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Limited,EQ,175.0,171.5,2.0408163265306123,20360613,35948.78,59.83,27-MAR-2018,20-Sep-2026
BANG,BANG.NS,Bang Overseas Limited,EQ,33.5,33.19,0.9340162699608384,35579,12.05,37.9,20-FEB-2008,20-Sep-2026
BANK10ADD,BANK10ADD.NS,BANK10ADD,EQ,16.62,16.52,0.6053268765133258,3296,0.55,53.79,,20-Sep-2026
